UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0021906L;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;45;Apprentissage;36;32025215;32025215;FAUX;32211025215
0021906L;BTS - Services - Management opérationnel de la sécurité;32211034401;150;Scolaire;35;32034401;32034401;FAUX;32211034401
0021906L;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;91;Apprentissage;36;32034401;32034401;FAUX;32211034401
0021906L;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;79;Apprentissage;36;32031212;32031212;FAUX;32211031212
0021907M;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;51;Apprentissage;15;32033206;32033206;FAUX;32211033206
0021939X;BTS - Production - Electrotechnique;32211025520;237;Scolaire;30;32025520;32025520;FAUX;32211025520
0021939X;BTS - Production - Electrotechnique - en apprentissage;32211025520;46;Apprentissage;8;32025520;32025520;FAUX;32211025520
0022022M;BTS - Services - Economie sociale familiale;32211033206;81;Scolaire;35;32033206;32033206;FAUX;32211033206
0022041H;BTS - Agricole - Technico-commercial - Spécialité alimentation et boisson - en apprentissage;32212031205;21;Apprentissage;20;32031205;32031205;FAUX;32212031205
0022041H;BTS - Agricole - Technico-commercial - Spécialité biens et services pour l'agriculture - en apprentissage;32212031204;15;Apprentissage;15;32031204;32031204;FAUX;32212031204
0022042J;BTS - Services - Economie sociale familiale;32211033206;274;Scolaire;18;32033206;32033206;FAUX;32211033206
0022044L;BTS - Production - Bâtiment - en apprentissage;32211023012;93;Apprentissage;15;32023012;32023012;FAUX;32211023012
0022044L;BTS - Production - Management économique de la construction - en apprentissage;32211023013;42;Apprentissage;15;32023013;32023013;FAUX;32211023013
0022044L;BTS - Production - Systèmes constructifs bois et habitat - en apprentissage;32211023412;50;Apprentissage;15;32023412;32023412;FAUX;32211023412
0022044L;BTS - Services - Management en hôtellerie restauration;32211033422;83;Scolaire;30;32033422;32033422;FAUX;32211033422
0022108F;BTS - Services - Professions immobilières - en apprentissage;32211031309;101;Apprentissage;15;32031309;32031309;FAUX;32211031309
0022130E;BTS - Agricole - Agronomie : Productions végétales - en apprentissage;32212021113;27;Apprentissage;20;32021113;32021113;FAUX;32212021113
0022130E;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;51;Apprentissage;20;32021401;32021401;FAUX;32212021401
0030026M;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;39;Scolaire;15;32022316;32022316;FAUX;32211022316
0030026M;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;90;Scolaire;15;32025415;32025415;FAUX;32211025415
0030026M;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;37;Apprentissage;15;32025415;32025415;FAUX;32211025415
0030026M;BTS - Production - Métiers de la chimie;32211022208;353;Scolaire;24;32022208;32022208;FAUX;32211022208
0030026M;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;109;Scolaire;15;32025516;32025516;FAUX;32211025516
0030026M;BTS - Services - Comptabilité et gestion;32211031408;179;Scolaire;20;32031408;32031408;FAUX;32211031408
0030026M;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;174;Scolaire;29;32031216;32031216;FAUX;32211031216
0030026M;BTS - Services - Gestion de la PME;32211031409;496;Scolaire;35;32031409;32031409;FAUX;32211031409
0030038A;BTS - Production - Electrotechnique;32211025520;83;Scolaire;15;32025520;32025520;FAUX;32211025520
0030038A;BTS - Production - Electrotechnique - en apprentissage;32211025520;27;Apprentissage;3;32025520;32025520;FAUX;32211025520
0030038A;BTS - Services - Comptabilité et gestion;32211031408;250;Scolaire;34;32031408;32031408;FAUX;32211031408
0030038A;BTS - Services - Management Commercial Opérationnel;32211031213;264;Scolaire;34;32031213;32031213;FAUX;32211031213
0030051P;BTS - Production - Assistance technique d'ingénieur;32211025001;130;Scolaire;15;32025001;32025001;FAUX;32211025001
0030051P;BTS - Production - Assistance technique d'ingénieur - en apprentissage;32211025001;22;Apprentissage;2;32025001;32025001;FAUX;32211025001
0030051P;BTS - Production - Développement et Réalisation Bois;32211023411;130;Scolaire;12;32023411;32023411;FAUX;32211023411
0030051P;BTS - Production - Développement et Réalisation Bois - en apprentissage;32211023411;49;Apprentissage;4;32023411;32023411;FAUX;32211023411
0030051P;BTS - Production - Etude et réalisation d'agencement;32211023305;425;Scolaire;15;32023305;32023305;FAUX;32211023305
0030051P;BTS - Services - Collaborateur juriste notarial;32211034502;538;Scolaire;18;32034502;32034502;FAUX;32211034502
0030051P;BTS - Services - Communication;32211032002;784;Scolaire;35;32032002;32032002;FAUX;32211032002
0030051P;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;304;Scolaire;35;32031212;32031212;FAUX;32211031212
