code_rome;code_fiche_metier;code_ogr;libelle_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;code_rome_parent
J1502;357;358;Coordination de services médicaux ou paramédicaux;;;O;;;
J1503;351;359;Infirmier / Infirmière anesthésiste (IADE);;;;O;;J1503
J1504;360;360;Infirmier / Infirmière de bloc opératoire (IBODE);;O;N;O;N;J1504
J1505;354;361;Soins infirmiers spécialisés en prévention;;;O;;;
J1506;355;362;Infirmier / Infirmière en soins généraux (IDE);;;O;O;N;J1506
J1507;362;363;Infirmier / Infirmière en puériculture;;N;N;O;N;J1507
K1101;365;364;Accompagnement et médiation familiale;;;;;;
K1102;367;365;Aide aux bénéficiaires d'une mesure de protection juridique;;;;;;
K1103;370;366;Développement personnel et bien-être de la personne;;;O;;;
K1104;372;367;Psychologie;;;O;;;
K1201;590;368;Action sociale;;;;;;
K1202;381;369;Éducation de jeunes enfants;;;;;;
K1203;386;370;Encadrement technique en insertion professionnelle;;;;;;
K1204;589;371;Médiation sociale et facilitation de la vie en société;;;;;;
K1205;602;372;Information sociale;;;;;;
K1206;379;373;Intervention socioculturelle;;;;;;
K1207;383;374;Intervention socioéducative;;;;;;
K1301;388;375;Accompagnement médicosocial;;;;;;
K1302;392;376;Assistance auprès d'adultes;;;O;;;
K1303;394;377;Assistance auprès d'enfants;;;O;;;
K1304;390;378;Services domestiques;;;O;;;
K1305;615;28964;Intervention sociale et familiale;;;;;;
K1306;30066;404044;Auxiliaire de Vie Sociale (AVS);;;O;N;N;K1302
K1307;30067;404045;Animateur / Animatrice petite enfance;;;;N;N;K1303
K1308;30068;404046;Agent territorial spécialisé / Agente territoriale spécialisée des écoles maternelles (ATSEM);;;;;;K1303
K1401;397;379;Conception et pilotage de la politique des pouvoirs publics;;;;;;
K1402;406;380;Conseil en Santé Publique;;;O;;;
K1403;592;381;Management de structure de santé, sociale ou pénitentiaire;;;O;;;
K1404;400;382;Mise en oeuvre et pilotage de la politique des pouvoirs publics;;;;;;
K1405;403;383;Représentation de l'État sur le territoire national ou international;;;;;;
K1501;419;384;Application des règles financières publiques;;;;;;
K1502;428;385;Contrôle et inspection des Affaires Sociales;;;;;;
K1503;421;386;Contrôle et inspection des impôts;;;;;;
K1504;426;387;Contrôle et inspection du Trésor Public;;;;;;
K1505;423;388;Protection des consommateurs et contrôle des échanges commerciaux;;;;;;
K1601;430;389;Gestion de l'information et de la documentation;;;;;;
K1602;432;390;Gestion de patrimoine culturel;;;;;;
K1701;440;391;Personnel de la Défense;;;;;;
K1702;449;392;Direction de la sécurité civile et des secours;;;;;;
K1703;438;393;Direction opérationnelle de la défense;;;;;;
K1704;451;394;Management de la sécurité publique;;;;;;
K1705;448;395;Sécurité civile et secours;;;;;;
K1706;435;396;Sécurité publique;;;;;;
K1707;442;397;Surveillance municipale;;;;;;
K1801;452;398;Conseil en emploi et insertion socioprofessionnelle;;;;;;
K1802;454;399;Développement local;;;;;;
K1901;458;400;Aide et médiation judiciaire;;;;;;
K1902;459;401;Collaboration juridique;;;;;;
K1903;457;402;Défense et conseil juridique;;;;;;
K1904;461;403;Magistrature;;;;;;
K2101;465;404;Conseil en formation;;;;;;
K2102;466;405;Coordination pédagogique;;;;;;
K2103;480;406;Direction d'établissement et d'enseignement;;;;;;
K2104;478;407;Éducation et surveillance au sein d'établissements d'enseignement;;;;;;
K2105;468;408;Enseignement artistique;;;;;;
K2106;470;409;Enseignement des écoles;;;;;;
K2107;472;410;Enseignement général du second degré;;;;;;
K2108;476;411;Enseignement supérieur;;;;;;
K2109;474;412;Enseignement technique et professionnel;;;;;;
K2110;483;413;Formation en conduite de véhicules;;;;;;
K2111;464;414;Formation professionnelle;;;;;;
K2112;482;415;Orientation scolaire et professionnelle;;;;;;
