UAI;LIBELLÉFORMATION;MEFSTAT11;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP
0830662U;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;45;Apprentissage;15
0830662U;BTS - Services - Collaborateur juriste notarial - en apprentissage;32211034502;101;Apprentissage;15
0062201K;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;80;Apprentissage;30
0062201K;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;73;Apprentissage;30
0062173E;BTS - Services - Communication - en apprentissage;32211032003;94;Apprentissage;30
0831693P;BTS - Services - Assurance - en apprentissage;32211031311;35;Apprentissage;15
0580555N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;82;Apprentissage;22
0081059H;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;34;Apprentissage;30
0312550D;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;126;Apprentissage;26
0672866B;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;196;Apprentissage;10
0672866B;BTS - Services - Gestion de la PME - en apprentissage;32211031409;101;Apprentissage;10
0672866B;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;204;Apprentissage;15
0672959C;BTS - Services - Professions immobilières - en apprentissage;32211031309;163;Apprentissage;5
0672877N;BTS - Services - Communication - en apprentissage;32211032003;204;Apprentissage;70
0672877N;BTS - Services - Tourisme - en apprentissage;32211033426;182;Apprentissage;70
0030935A;BTS - Services - Banque conseiller de clientèle;32211031310;104;Scolaire;18
0851461B;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;177;Apprentissage;30
0851461B;BTS - Services - Gestion de la PME - en apprentissage;32211031409;94;Apprentissage;30
0134296Z;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;57;Apprentissage;15
0134296Z;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;33;Apprentissage;15
0492451Y;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production - en apprentissage;32211032332;222;Apprentissage;10
0142468G;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;50;Apprentissage;25
0261505V;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage;32211020116;160;Apprentissage;3
0261505V;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux - en apprentissage;32211020116;90;Apprentissage;3
0442770X;BTS - Services - Opticien-Lunetier - en apprentissage;32211033107;126;Apprentissage;20
0920171L;BTS - Production - Electrotechnique - en apprentissage;32211025520;235;Apprentissage;12
0731519E;BTS - Services - Gestion de la PME - en apprentissage;32211031409;26;Apprentissage;20
0731519E;BTS - Services - Tourisme - en apprentissage;32211033426;58;Apprentissage;24
0510007F;BTS - Production - Maintenance des véhicules option véhicules de transport routier - en apprentissage;32211025216;30;Apprentissage;10
0342189V;BTS - Services - Communication - en apprentissage;32211032003;203;Apprentissage;50
0420991Z;BTS - Services - Management opérationnel de la sécurité - en apprentissage;32211034401;87;Apprentissage;15
