UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0590122M,BTS - Services - Biologie médicale,32211033112,1084.0,Scolaire,30.0
0590125R,BTS - Services - Management en hôtellerie restauration - en apprentissage,32211033422,216.0,Apprentissage,34.0
0590149S,BTS - Production - Conception et réalisation en chaudronnerie industrielle,32211025415,48.0,Scolaire,15.0
0590149S,BTS - Production - Electrotechnique,32211025520,118.0,Scolaire,30.0
0590184E,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",32211020116,613.0,Scolaire,30.0
0590184E,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage",32211020116,188.0,Apprentissage,8.0
0590184E,BTS - Services - Photographie,32211032325,179.0,Scolaire,26.0
0590184E,BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image,32211032329,1046.0,Scolaire,13.0
0590184E,BTS - Services - Métiers de l'audio-visuel opt : métiers du son,32211032330,586.0,Scolaire,13.0
0590184E,BTS - Services - Métiers de l'audio-visuel opt : montage et post-production,32211032332,1006.0,Scolaire,13.0
0590184E,BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements,32211032331,324.0,Scolaire,13.0
0590184E,BTS - Services - Métiers de l'audio-visuel opt : gestion de la production,32211032328,416.0,Scolaire,13.0
0590185F,BTS - Services - Support à l'action managériale,32211032409,379.0,Scolaire,35.0
0590185F,BTS - Services - Management Commercial Opérationnel,32211031213,732.0,Scolaire,35.0
0590185F,BTS - Services - Négociation et digitalisation de la Relation Client,32211031212,748.0,Scolaire,35.0
0590185F,BTS - Services - Assurance,32211031311,341.0,Scolaire,35.0
0590185F,BTS - Services - Comptabilité et gestion,32211031408,370.0,Scolaire,35.0
0590192N,BTS - Services - Comptabilité et gestion,32211031408,186.0,Scolaire,24.0
0741710G,BTS - Services - Gestion de la PME - en apprentissage,32211031409,88.0,Apprentissage,20.0
0741710G,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,132.0,Apprentissage,30.0
0141991N,BTS - Agricole - Aménagements paysagers - en apprentissage,32212021401,105.0,Apprentissage,30.0
0300002P,BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage,32211022316,21.0,Apprentissage,3.0
0731519E,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,35.0,Apprentissage,24.0
0741781J,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,47.0,Apprentissage,12.0
0061610T,BTS - Services - Comptabilité et gestion - en apprentissage,32211031408,29.0,Apprentissage,5.0
0061610T,BTS - Services - Gestion de la PME - en apprentissage,32211031409,46.0,Apprentissage,10.0
0061610T,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,58.0,Apprentissage,10.0
0061610T,BTS - Services - Professions immobilières - en apprentissage,32211031312,87.0,Apprentissage,8.0
0831774C,BTS - Services - Management opérationnel de la sécurité - en apprentissage,32211034401,68.0,Apprentissage,40.0
0830662U,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,57.0,Apprentissage,20.0
0830662U,BTS - Services - Services informatiques aux organisations - en apprentissage,32211032612,31.0,Apprentissage,20.0
0830662U,BTS - Services - Collaborateur juriste notarial - en apprentissage,32211034502,100.0,Apprentissage,20.0
0062201K,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,46.0,Apprentissage,20.0
0062201K,BTS - Services - Services informatiques aux organisations - en apprentissage,32211032612,36.0,Apprentissage,20.0
0831693P,BTS - Services - Assurance - en apprentissage,32211031311,15.0,Apprentissage,15.0
0580555N,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,57.0,Apprentissage,22.0
0081059H,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,35.0,Apprentissage,30.0
0312550D,BTS - Services - Services et prestations des secteurs sanitaire et social - en apprentissage,32211033002,73.0,Apprentissage,12.0
0672866B,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,117.0,Apprentissage,10.0
0672866B,BTS - Services - Gestion de la PME - en apprentissage,32211031409,64.0,Apprentissage,7.0
0672866B,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,128.0,Apprentissage,15.0
