MEF,FORMATION_DIPLOME,MEF_STAT_11
3112340322,32023403,32221023403
3112310922,32023109,32221023109
2513220622,40132206,23C20032206
3112340521,32023405,32211023405
3112340522,32023405,32221023405
3112340621,32023406,32211023406
3112340622,32023406,32221023406
3112340421,32023404,32211023404
3112340422,32023404,32221023404
3112500221,32025002,32211025002
3112500222,32025002,32221025002
3112300321,32023003,32211023003
3112300322,32023003,32221023003
3112300521,32023005,32211023005
3112300522,32023005,32221023005
3113240122,32032401,32221032401
2412241821,50022418,23210022418
2412241822,50022418,23220022418
3112310921,32023109,32211023109
2413230321,50032303,23210032303
2413230322,50032303,23220032303
2413220521,50032205,23210032205
2413220522,50032205,23220032205
2423220533,50032205,23330032205
2413220621,50032206,23210032206
2413220622,50032206,23220032206
2413220721,50032207,23210032207
2413220722,50032207,23220032207
2542551621,45025516,25110025516
2413220121,50032201,23210032201
2413220122,50032201,23220032201
2413220921,50032209,23210032209
2413220922,50032209,23220032209
2413221021,50032210,23210032210
2413221022,50032210,23220032210
2413230421,50032304,23210032304
3113121321,32031213,32211031213
2413230422,50032304,23220032304
2413230521,50032305,23210032305
2413230522,50032305,23220032305
2413221121,50032211,23210032211
2413221122,50032211,23220032211
2413221221,50032212,23210032212
2413221222,50032212,23220032212
2413221321,50032213,23210032213
2413221322,50032213,23220032213
2413221421,50032214,23210032214
2413221422,50032214,23220032214
2423220233,50032202,23330032202
2423220333,50032203,23330032203
2412260421,50022604,23210022604
2442220122,51022201,23520022201
2422232333,50022323,23330022323
2442210421,51022104,23510022104
1122399911,63023999,21320023999
1122299911,63022999,21320022999
1122599911,63025999,21320025999
1123299911,63032999,21320032999
1122499911,63024999,21320024999
1123199911,63031999,21320031999
1123399911,63033999,21320033999
2542551622,45025516,25120025516
1122099911,63020999,21320020999
1123499911,63034999,21320034999
1129999911,63099999,21320099999
1132199911,64021999,21330021999
1132399911,64023999,21330023999
1132299911,64022999,21330022999
1132599911,64025999,21330025999
1133299911,64032999,21330032999
1132499911,64024999,21330024999
2412410721,50024107,23210024107
2412410722,50024107,23220024107
2422410733,50024107,23330024107
2542551321,45025513,25110025513
3103121311,32031213,32111031213
2412420821,50024208,23210024208
2412420921,50024209,23210024209
2412420922,50024209,23220024209
2422420933,50024209,23330024209
2412421021,50024210,23210024210
2422421033,50024210,23330024210
2412430521,50024305,23210024305
2412430522,50024305,23220024305
2422430533,50024305,23330024305
2412430621,50024306,23210024306
2422430633,50024306,23330024306
2422410833,50024108,23330024108
2412421221,50024212,23210024212
